15000   4026  4387  4471
0       1.04  1.02  0.65
50      2.01  1.90  1.59
100     3.01  2.86  3.03
150     4.10  3.92  4.38
200     5.11  4.94  5.49
250     6.05  6.02  6.55
300     7.01  7.34  7.61
350     7.99  8.51  8.66
400     8.99  9.64  9.77

20000   4026  4387  4471
0       1.74  0.99  1.09
50      2.54  1.89  1.93
100     3.43  2.82  3.42
150     4.25  3.84  4.53
200     5.08  4.92  5.49
250     5.98  6.07  6.51
300     6.92  7.22  7.55
350     7.90  8.36  8.60
400     8.87  9.48  9.68

25000   4026  4387  4471
0       1.55  0.91  1.06
50      2.30  1.74  1.82
100     3.16  2.70  3.25 
150     4.01  3.73  4.31
200     4.87  4.81  5.31
250     5.79  5.95  6.33
300     6.74  7.12  7.37
350     7.71  8.25  8.45
400     8.71  9.36  9.54

30000   4026  4387  4471
0       1.44  0.86  1.05
50      2.08  1.63  1.69
100     2.91  2.59  3.07
150     3.80  3.63  4.11
200     4.71  4.71  5.13
250     5.65  5.86  6.18
300     6.63  7.00  7.22
350     7.62  8.14  8.32
400     8.65  9.27  9.42
